Data and time, pollution PM10 [ug/m3]
2022-01-05,16.7,
2022-01-06,10.6,
2022-01-07,21.6,
2022-01-08,37.9,
2022-01-09,54.8,
2022-01-10,52.2,
2022-01-11,49.5,
2022-01-12,41.0,
2022-01-13,23.9,
2022-01-14,8.8,
2022-01-15,12.8,
2022-01-16,32.9,
2022-01-17,9.2,
2022-01-18,14.0,
2022-01-19,31.1,
2022-01-20,15.2,
2022-01-21,7.9,
2022-01-22,9.2,
2022-01-23,56.0,
2022-01-24,71.3,
2022-01-25,31.4,
2022-01-26,23.0,
2022-01-27,19.5,
2022-01-28,6.1,
2022-01-29,13.1,
2022-01-30,4.3,
2022-01-31,8.8,
2022-02-01,19.8,
2022-02-02,17.1,
2022-02-03,21.1,
2022-02-04,44.9,
2022-02-05,18.4,
2022-02-06,14.0,
2022-02-07,9.5,
2022-02-08,12.3,
2022-02-09,12.7,
2022-02-10,20.9,
2022-02-11,20.5,
2022-02-12,18.0,
2022-02-13,29.7,
2022-02-14,37.9,
2022-02-15,48.7,
2022-02-16,38.1,
2022-02-17,6.9,
2022-02-18,14.3,
2022-02-19,9.3,
2022-02-20,15.4,
2022-02-21,8.3,
2022-02-22,14.2,
2022-02-23,13.0,
2022-02-24,21.1,
2022-02-25,19.3,
2022-02-26,54.3,
2022-02-27,32.1,
2022-02-28,48.7,
2022-03-01,59.0,
2022-03-02,58.3,
2022-03-03,45.6,
2022-03-04,29.5,
2022-03-05,17.1,
2022-03-06,22.5,
2022-03-07,26.6,
2022-03-08,22.4,
2022-03-09,22.9,
2022-03-10,29.3,
2022-03-11,61.0,
2022-03-12,92.7,
2022-03-13,34.5,
2022-03-14,40.7,
2022-03-15,62.1,
2022-03-16,70.2,
2022-03-17,45.2,
2022-03-18,62.7,
2022-03-19,84.3,
2022-03-20,76.0,
2022-03-21,102.8,
2022-03-22,123.4,
2022-03-23,83.8,
2022-03-24,55.0,
2022-03-25,45.5,
2022-03-26,51.2,
2022-03-27,13.2,
2022-03-28,39.7,
2022-03-29,33.7,
2022-03-30,43.5,
2022-03-31,11.9,
2022-04-01,13.4,
2022-04-02,20.7,
2022-04-03,17.5,
2022-04-04,21.7,
2022-04-05,19.5,
2022-04-06,21.8,
2022-04-07,15.9,
2022-04-08,6.9,
2022-04-09,16.4,
2022-04-10,16.3,
2022-04-11,24.0,
2022-04-12,40.7,
2022-04-13,69.3,
2022-04-14,47.3,
2022-04-15,24.9,
2022-04-16,10.7,
2022-04-17,16.3,
2022-04-18,14.5,
2022-04-19,11.6,
2022-04-20,14.7,
2022-04-21,19.0,
2022-04-22,16.7,
2022-04-23,11.7,
2022-04-24,11.1,
2022-04-25,16.0,
2022-04-26,19.6,
2022-04-27,33.3,
2022-04-28,29.8,
2022-04-29,49.8,
2022-04-30,45.4,
2022-05-01,29.1,
2022-05-02,33.3,
2022-05-03,22.5,
2022-05-04,14.9,
2022-05-05,23.9,
2022-05-06,35.2,
2022-05-07,33.8,
2022-05-08,23.8,
2022-05-09,15.9,
2022-05-10,22.4,
2022-05-11,31.7,
2022-05-12,60.9,
2022-05-13,21.6,
2022-05-14,19.2,
2022-05-15,12.4,
2022-05-16,14.2,
2022-05-17,18.0,
2022-05-18,14.1,
2022-05-19,25.8,
2022-05-20,36.4,
2022-05-21,23.5,
2022-05-22,5.5,
2022-05-23,14.9,
2022-05-24,21.2,
2022-05-25,18.3,
2022-05-26,14.0,
2022-05-27,12.2,
2022-05-28,6.1,
2022-05-29,11.2,
2022-05-30,11.0,
2022-05-31,14.7,
2022-06-01,17.5,
2022-06-02,16.2,
2022-06-03,19.4,
2022-06-04,24.1,
2022-06-05,15.9,
2022-06-06,18.4,
2022-06-07,25.4,
2022-06-08,22.8,
2022-06-09,26.4,
2022-06-10,23.4,
2022-06-11,11.6,
2022-06-12,14.0,
2022-06-13,14.9,
2022-06-14,12.8,
2022-06-15,12.0,
2022-06-16,13.0,
2022-06-17,11.5,
2022-06-18,14.1,
2022-06-19,21.6,
2022-06-20,25.4,
2022-06-21,6.1,
2022-06-22,10.5,
2022-06-23,13.1,
2022-06-24,18.6,
2022-06-25,19.6,
2022-06-26,19.4,
2022-06-27,21.6,
2022-06-28,25.0,
2022-06-29,24.0,
2022-06-30,31.0,
2022-07-01,21.2,
2022-07-02,14.3,
2022-07-03,9.4,
2022-07-04,17.9,
2022-07-05,24.0,
2022-07-06,8.5,
2022-07-07,11.9,
2022-07-08,14.9,
2022-07-09,11.3,
2022-07-10,6.8,
2022-07-11,8.2,
2022-07-12,8.7,
2022-07-13,12.4,
2022-07-14,14.0,
2022-07-15,12.8,
2022-07-16,11.8,
2022-07-17,5.6,
2022-07-18,12.3,
2022-07-19,23.1,
2022-07-20,18.5,
2022-07-21,18.1,
2022-07-22,28.8,
2022-07-23,24.4,
2022-07-24,12.6,
2022-07-25,15.6,
2022-07-26,18.6,
2022-07-27,16.9,
2022-07-28,11.8,
2022-07-29,12.0,
2022-07-30,12.5,
2022-07-31,19.7,
2022-08-01,12.3,
2022-08-02,18.0,
2022-08-03,21.8,
2022-08-04,19.0,
2022-08-05,24.3,
2022-08-06,18.4,
2022-08-07,8.3,
2022-08-08,17.5,
2022-08-09,31.0,
2022-08-10,18.5,
2022-08-11,13.7,
2022-08-12,16.3,
2022-08-13,15.0,
2022-08-14,25.3,
2022-08-15,24.5,
2022-08-16,28.2,
2022-08-17,32.3,
2022-08-18,31.3,
2022-08-19,31.3,
2022-08-20,22.3,
2022-08-21,13.3,
2022-08-22,31.7,
2022-08-23,84.7,
2022-08-24,110.4,
2022-08-25,38.4,
2022-08-26,31.0,
2022-08-27,35.2,
2022-08-28,29.5,
2022-08-29,13.7,
2022-08-30,8.9,
2022-08-31,11.5,
2022-09-01,10.1,
2022-09-02,12.9,
2022-09-03,15.5,
2022-09-04,16.1,
2022-09-05,14.0,
2022-09-06,22.2,
2022-09-07,24.2,
2022-09-08,30.0,
2022-09-09,14.8,
2022-09-10,12.4,
2022-09-11,7.5,
2022-09-12,9.3,
2022-09-13,17.4,
2022-09-14,19.7,
2022-09-15,18.9,
2022-09-16,14.0,
2022-09-17,12.7,
2022-09-18,14.1,
2022-09-19,12.7,
2022-09-20,16.0,
